աա	ɑ ɑ
փայլատակել	pʰ ɑ j l ɑ t ɑ k ɛ l
փայլել	pʰ ɑ j l ɛ l
փայլում	pʰ ɑ j l u m
փայլուն	pʰ ɑ j l u n
փայտ	pʰ ɑ j t
փայտիկ	pʰ ɑ j t i k
փայտյա	pʰ ɑ j t j ɑ
փաշա	pʰ ɑ ʃ ɑ
փաշինյան	pʰ ɑ ʃ i n j ɑ n
փառահեղ	pʰ ɑ r ɑ h ɛ ʁ
փառասեր	pʰ ɑ r ɑ s ɛ ɾ
փառք	pʰ ɑ r kʰ
փաստաբան	pʰ ɑ s t ɑ b ɑ n
փաստացի	pʰ ɑ s t ɑ t͡sʰ i
փաստել	pʰ ɑ s t ɛ l
փաստորեն	pʰ ɑ s t o ɾ ɛ n
փարիզ	pʰ ɑ ɾ i z
փարիսեցիական	pʰ ɑ ɾ i s ɛ t͡sʰ j ɑ k ɑ n
փափազյան	pʰ ɑ pʰ ɑ z j ɑ n
փափուկ	pʰ ɑ pʰ u k
փեսա	pʰ ɛ s ɑ
փետրվարյան	pʰ ɛ t ə ɾ v ɑ ɾ j ɑ n
փերի	pʰ ɛ ɾ i
փիլիսոփա	pʰ i l i s ɔ pʰ ɑ
փղոսկր	pʰ ə ʁ ɔ s k ɾ
փնթի	pʰ ə n tʰ i
փնտրել	pʰ ə n t ɾ ɛ l
փշրել	pʰ ə ʃ ɾ ɛ l
փոթորիկ	pʰ ɔ tʰ ɔ ɾ i k
փոխ	pʰ o χ
փոխանակ	pʰ ɔ χ ɑ n ɑ k
փոխանակել	pʰ o χ ɑ n ɑ k ɛ l
փոխանցել	pʰ ɔ χ ɑ n t͡sʰ ɛ l
փոխարեն	pʰ o χ ɑ ɾ ɛ n
փոխարինում	pʰ o χ ɑ ɾ i n u m
փոխել	pʰ ɔ χ ɛ l
փոխնախարար	pʰ ɔ χ n ɑ χ ɑ ɾ ɑ ɾ
փոխվարչապետ	pʰ ɔ χ v ɑ ɾ t͡ʃʰ ɑ p ɛ t
փող	pʰ ɔ ʁ
փողոց	pʰ o ʁ o t sʰ
փոշի	pʰ o ʃ i
փոստային	pʰ ɔ s t ɑ j i n
փորձառություն	pʰ o ɾ t sʰ ɑ r u t sʰ j u n
փորձարկել	pʰ ɔ ɾ t͡sʰ ɑ ɾ k ɛ l
փորձարկում	pʰ ɔ ɾ t͡sʰ ɑ ɾ k u m
փորձել	pʰ ɔ ɾ t͡sʰ ɛ l
փուլ	pʰ u l
փուչ	pʰ u t͡ʃʰ
փուչիկ	pʰ u t ʃʰ i k
փոփոխություն	pʰ ɔ pʰ ɔ χ u tʰ j u n
փոքր	pʰ ɔ kʰ ə ɾ
փոքրիկ	pʰ ɔ kʰ ɾ i k
փչացած	pʰ ə t͡ʃʰ ɑ t͡sʰ ɑ t͡s
փչել	pʰ ə t͡ʃʰ ɛ l
փրկել	pʰ ə ɾ k ɛ l
քահանա	kʰ ɑ h ɑ n ɑ
քաղաք	kʰ ɑ ʁ ɑ kʰ
քաղաքագետ	kʰ ɑ ʁ ɑ kʰ ɑ ɡ ɛ t
քաղաքական	kʰ ɑ ʁ ɑ kʰ ɑ k ɑ n
քաղաքականություն	kʰ ɑ ʁ ɑ kʰ ɑ k ɑ n u tʰ j u n
քաղաքապետ	kʰ ɑ ʁ ɑ kʰ ɑ p ɛ t
քաղաքավարի	kʰ ɑ ʁ ɑ kʰ ɑ v ɑ ɾ i
քաղաքացի	kʰ ɑ ʁ ɑ kʰ ɑ t͡sʰ i
քաղաքացիական	kʰ ɑ ʁ ɑ kʰ ɑ t͡sʰ i j ɑ k ɑ n
քաղաքացիություն	kʰ ɑ ʁ ɑ kʰ ɑ t͡sʰ i u tʰ j u n
քաղբանտարկյալ	kʰ ɑ ʁ b ɑ n t ɑ ɾ k j ɑ l
քաղց	kʰ ɑ χ t͡sʰ
քաղցր	kʰ ɑ χ t͡sʰ ə ɾ
քաղցրահամ	kʰ ɑ χ t͡sʰ ɾ ɑ h ɑ m
քամի	kʰ ɑ m i
քայլ	kʰ ɑ j l
քայլերթ	kʰ ɑ j l ɛ ɾ tʰ
քան	kʰ ɑ n
քանակական	kʰ ɑ n ɑ k ɑ k ɑ n
քանակություն	kʰ ɑ n ɑ k u tʰ j u n
քանդակագործ	kʰ ɑ n d ɑ k ɑ ɡ ɔ ɾ t͡s
քանդել	kʰ ɑ n d ɛ l
քանզի	kʰ ɑ n z i
քանի	kʰ ɑ n i
քանիցս	kʰ ɑ n i t͡sʰ ə s
քաշել	kʰ ɑ ʃ ɛ l
քաոսային	kʰ ɑ o s ɑ j i n
քաջ	kʰ ɑ d͡ʒ
քաջալերել	kʰ ɑ d͡ʒ ɑ l ɛ ɾ ɛ l
քաջություն	kʰ ɑ d ʒ u t sʰ j u n
քառակուսի	kʰ ɑ r ɑ k u s i
քառասուն	kʰ ɑ r ɑ s u n
քառյակ	kʰ ɑ r j ɑ k
քառորդ	kʰ ɑ r ɔ ɾ tʰ
քավության	kʰ ɑ v u tʰ j ɑ n
քար	kʰ ɑ ɾ
քարանձավ	kʰ ɑ ɾ ɑ n d z ɑ v
քարոզել	kʰ ɑ ɾ o z ɛ l
քարոզչություն	kʰ ɑ ɾ ɔ z t͡ʃʰ u tʰ j u n
քարտ	kʰ ɑ ɾ t
քարտեզ	kʰ ɑ ɾ t ɛ z
քարտուղար	kʰ ɑ ɾ t u ʁ ɑ ɾ
քեռու	kʰ ɛ r u
քերականական	kʰ ɛ ɾ ɑ k ɑ n ɑ k ɑ n
քեֆ	kʰ ɛ f
քիմիա	kʰ i m j ɑ
քիմիական	kʰ i m j ɑ k ɑ n
քիմիապես	kʰ i m j ɑ p ɛ s
քիմմաքրում	kʰ i mː ɑ kʰ ɾ u m
քիչ	kʰ i t ʃʰ
քլինթոն	kʰ l i n tʰ o n
քնած	kʰ ə n ɑ t͡s
քնար	kʰ ə n ɑ ɾ
քննադատել	kʰ ə nː ɑ d ɑ t ɛ l
քննադատություն	kʰ ə nː ɑ d ɑ t u tʰ j u n
քննարկել	kʰ ə nː ɑ ɾ k ɛ l
քննարկում	kʰ ə nː ɑ ɾ k u m
քննարկվել	kʰ ə nː ɑ ɾ k v ɛ l
քննել	kʰ ə nː ɛ l
քշել	kʰ ə ʃ ɛ l
քո	kʰ o
քոչարյան	kʰ ɔ t͡ʃʰ ɑ ɾ j ɑ n
քոռ	kʰ ɔ r
քուրդ	kʰ u ɾ d
քոքոբելյան	kʰ ɔ kʰ ɔ b ɛ l j ɑ n
քսան	kʰ ə s ɑ n
քսել	kʰ ə s ɛ l
քսուք	kʰ ə s u kʰ
քվե	kʰ ə v ɛ
քվեարկել	kʰ ə v ɛ ɑ ɾ k ɛ l
քրիստոնյա	kʰ ɾ i s t ɔ n j ɑ
քրիստոս	kʰ ɾ i s t ɔ s
քրտնել	kʰ ə ɾ t n ɛ l
քրքրել	kʰ ə ɾ kʰ ə ɾ ɛ l
օբամա	ɔ b ɑ m ɑ
օբյեկտիվություն	ɔ b j ɛ k t i v u tʰ j u n
օգնական	ɔ kʰ n ɑ k ɑ n
օգնություն	ɔ kʰ n u tʰ j u n
օգտագործել	ɔ kʰ t ɑ ɡ ɔ ɾ t͡s ɛ l
օգտագործվել	ɔ kʰ t ɑ ɡ ɔ ɾ t͡s v ɛ l
օգտակար	ɔ kʰ t ɑ k ɑ ɾ
օգտատեր	ɔ kʰ t ɑ t ɛ ɾ
օդ	ɔ tʰ
օդային	o tʰ ɑ j i n
օդանավ	ɔ tʰ ɑ n ɑ v
օդանավակայան	ɔ tʰ ɑ n ɑ v ɑ k ɑ j ɑ n
օդաչու	ɔ tʰ ɑ t͡ʃʰ u
օդերեւութաբանական	o tʰ ɛ ɾ ɛ v u tʰ ɑ b ɑ n ɑ k ɑ n
օդորակիչ	ɔ tʰ ɔ ɾ ɑ k i t͡ʃʰ
օեկ	o j ɛ k
օժանդակ	o ʒ ɑ n d ɑ k
օծանելիք	o t s ɑ n ɛ l i kʰ
օհանյան	ɔ h ɑ n j ɑ n
օձ	ɔ t͡sʰ
օղի	ɔ ʁ i
օման	ɔ m ɑ n
օմար	ɔ m ɑ ɾ
օպերա	ɔ p ɛ ɾ ɑ
օպերային	o p ɛ ɾ ɑ j i n
օջախ	ɔ d͡ʒ ɑ χ
օս	ɔ s
օսլո	o s l o
օսկանյան	ɔ s k ɑ n j ɑ n
օսման	ɔ s m ɑ n
օսմանյան	ɔ s m ɑ n j ɑ n
օսմանցի	ɔ s m ɑ n t͡sʰ i
օտարագիր	ɔ t ɑ ɾ ɑ ɡ i ɾ
օր	ɔ ɾ
օրագիր	ɔ ɾ ɑ ɡ i ɾ
օրակարգ	ɔ ɾ ɑ k ɑ ɾ kʰ
օրգանիզմ	ɔ ɾ ɡ ɑ n i z m
օրենք	ɔ ɾ ɛ ŋ kʰ
օրենքով	ɔ ɾ ɛ ŋ kʰ ɔ v
օրինակ	ɔ ɾ i n ɑ k
օրիորդ	ɔ ɾ j ɔ ɾ tʰ
օրհնյալ	o ɾ h n j ɑ l
ֆակուլտետ	f ɑ k u l t ɛ t
ֆաշիստական	f ɑ ʃ i s t ɑ k ɑ n
ֆեյսբուք	f ɛ j s b u kʰ
ֆեյսբուքյան	f ɛ j s b u kʰ j ɑ n
ֆեյք	f ɛ j kʰ
ֆիզիկա	f i z i k ɑ
ֆիզիկական	f i z i k ɑ k ɑ n
ֆիզիկապես	f i z i k ɑ p ɛ s
ֆիզիկոս	f i z i k ɔ s
ֆիզիոլոգիական	f i z i ɔ l ɔ ɡ j ɑ k ɑ n
ֆիլիպ	f i l i p
ֆիլմ	f i l m
ֆինանսական	f i n ɑ n s ɑ k ɑ n
ֆինանսներ	f i n ɑ n s n ɛ ɾ
ֆինլանդիա	f i n l ɑ n d j ɑ
ֆլամենկո	f l ɑ m ɛ n k o
ֆոն	f ɔ n
ֆոտոխցիկ	f ɔ t ɔ χ ə t͡sʰ i k
ֆոտոն	f o t o n
ֆունտ	f u n t
ֆրանսերեն	f ɾ ɑ n s ɛ ɾ ɛ n
ֆրանսիա	f ə ɾ ɑ n s j ɑ
ֆրանսիացի	f ɾ ɑ n s j ɑ t͡sʰ i
